identificador,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,eq_ebmanual,eq_ebestaciona,eq_ecosgranfigr
1016801122660004,0,0,,,0,0,0,
1016801122660005,0,0,,0.0,0,0,0,0.0
1016801122660006,0,0,0.0,0.0,0,0,0,0.0
1016801122660010,0,0,,0.0,0,0,0,0.0
1016801122660011,0,0,,0.0,0,0,0,0.0
1016801122660012,1,0,,0.0,0,0,0,0.0
1016801122660013,0,0,,0.0,0,0,0,0.0
1016801122660014,0,0,,0.0,0,1,0,0.0
1016801122660015,0,0,,0.0,0,0,0,0.0
1016801122660016,0,0,,0.0,0,0,0,0.0
1016801122660017,0,0,,0.0,0,0,0,0.0
1016801122660019,0,0,,0.0,0,0,0,0.0
1016801122660020,0,0,,0.0,0,0,0,0.0
1016801122660021,0,0,,,0,0,0,
1016801122660022,0,0,,0.0,0,0,0,0.0
1016801122660023,0,0,,0.0,0,0,0,0.0
1016801122660024,0,0,,0.0,0,0,0,0.0
1016801122660025,0,0,,0.0,0,0,0,0.0
1016801122660026,0,0,,0.0,0,0,0,0.0
1016801122660027,0,0,,0.0,0,0,0,0.0
1016801122660028,0,0,,0.0,0,0,0,0.0
1016801122660029,0,0,,,0,0,0,
1016801122660031,1,0,,,0,0,0,
1016801122660032,1,0,0.0,0.0,0,1,0,0.0
1016801122660033,0,0,,,0,0,0,
1016801122660034,0,0,,,0,0,0,
1016801122660036,0,0,,0.0,0,0,0,0.0
1016801123440001,0,0,0.0,0.0,0,0,0,0.0
1016801123490001,0,0,,,0,0,0,
1016801123490002,0,0,0.0,0.0,0,0,0,0.0
1016801123490003,0,0,,0.0,0,0,0,0.0
1016801129670002,0,0,,,0,0,0,
1016801130560001,0,0,0.0,0.0,0,0,0,0.0
1016801130560002,0,0,,,0,0,0,
1016801130560003,0,0,,,0,0,0,
1016801130560004,0,0,,,0,0,0,
1016801130560005,0,0,0.0,0.0,0,0,0,0.0
1016801130560006,0,0,0.0,0.0,0,0,0,0.0
1016801130560007,0,0,0.0,0.0,0,0,0,0.0
1016801130560009,0,0,,,0,0,0,
1016801130560010,0,0,,0.0,0,0,0,0.0
1016801130560011,0,0,,0.0,0,0,0,0.0
1016801130560013,0,0,,,0,0,0,
1016801134330002,0,0,,,0,0,0,
1016801135220004,0,0,0.0,,0,0,0,
1016801135220005,0,0,,,0,0,0,
1016801135220007,0,0,,,0,0,0,
1016801138400001,0,0,,,0,0,0,
1016801138400002,0,0,,,0,0,0,
1016801138400003,0,0,,,0,0,0,
1016801142350001,0,0,,,0,0,0,
1016801142350002,0,0,,,0,0,0,
1016801142350003,0,0,,,0,0,0,
1016801142350004,0,0,,,0,0,0,
1016801142350005,0,0,,,0,0,0,
1016801142350006,0,0,,,0,0,0,
1016901097140001,0,0,0.0,0.0,0,0,0,0.0
1016901097140002,0,0,,0.0,0,0,0,0.0
1016901097140003,0,0,,0.0,0,0,0,0.0
1016901097140004,0,0,,0.0,0,0,0,0.0
1016901097140005,0,0,,0.0,0,0,0,0.0
1016901097140006,0,0,0.0,0.0,0,0,0,0.0
1016901097140007,0,0,,0.0,0,1,0,0.0
1016901097140009,0,0,0.0,0.0,0,0,0,0.0
1016901097140010,0,0,0.0,0.0,0,0,0,0.0
1016901097140011,0,0,,0.0,0,0,0,0.0
1016901097140012,0,0,0.0,0.0,0,1,0,0.0
1016901097140013,0,0,,,0,0,0,
1016901097140014,0,0,,0.0,0,0,0,0.0
1016901097140015,0,0,0.0,0.0,0,0,0,0.0
1016901097140016,0,0,,0.0,0,0,0,0.0
1016901097140017,0,0,,0.0,0,0,0,0.0
1016901097140018,0,0,0.0,0.0,0,0,0,0.0
1016901097140019,0,0,,,0,0,0,
1016901097140020,0,0,0.0,0.0,0,0,0,0.0
1016901097140021,0,0,,0.0,0,0,0,0.0
1016901097140022,0,0,1.0,0.0,0,0,0,0.0
1017001102200001,0,0,,0.0,0,0,0,0.0
1017001102200003,0,0,1.0,0.0,0,0,0,0.0
1017001102200004,0,0,0.0,0.0,0,0,0,0.0
1017001102200005,0,0,1.0,0.0,0,0,0,0.0
1017001102200006,0,0,1.0,0.0,0,0,0,0.0
1017001102200007,0,0,1.0,0.0,0,0,0,0.0
1017001102200008,0,0,1.0,0.0,0,0,0,0.0
1017001102200009,0,0,,0.0,0,0,0,0.0
1017001102200010,0,0,1.0,0.0,0,0,0,0.0
1017001102200011,0,0,0.0,0.0,0,0,0,0.0
1017001102200012,0,0,,0.0,0,0,0,0.0
1017001102200014,0,0,,0.0,0,0,0,0.0
1017001102200015,0,0,,0.0,0,0,0,0.0
1017001102200016,0,0,,0.0,0,0,0,0.0
1017001102200017,0,0,,,0,0,0,
1017001102200018,0,0,0.0,0.0,0,0,0,0.0
1017001102200020,0,0,1.0,0.0,0,0,0,0.0
1017001102200021,0,0,1.0,0.0,0,0,0,0.0
1017001106250001,0,0,,0.0,0,0,0,0.0
1017001106250002,0,0,,,0,0,0,
1017001106250003,0,0,,0.0,0,0,0,0.0
1017001106250004,0,0,,0.0,0,0,0,0.0
1017001106250005,0,0,,0.0,0,0,0,0.0
1017001106250006,0,0,,0.0,0,0,0,0.0
1017001106250007,0,0,,0.0,0,0,0,0.0
1017001106250008,0,0,,0.0,0,0,0,0.0
1017001106250009,0,0,,0.0,0,0,0,0.0
